"tag_id","category_id","name","slug","type","description","is_featured","created_at","updated_at"
10,5,"VIP用户","vip-user","user","VIP会员",True,"2024-01-01 10:30:00+08","2024-03-15 09:05:00+08"
11,5,"资深玩家","senior-player","user","游戏时间超100小时",True,"2024-01-01 10:35:00+08","2024-03-15 09:10:00+08"
14,8,"云同步","cloud-sync","system","支持云同步",True,"2024-01-01 10:35:00+08","2024-03-15 09:10:00+08"
16,9,"春节活动","spring-festival","event","春节特别活动",True,"2024-01-01 10:35:00+08","2024-03-15 09:10:00+08"
17,9,"周年庆","anniversary","event","周年庆活动",True,"2024-01-01 10:35:00+08","2024-03-15 09:10:00+08"
1,1,"防护","rpg","genre","特色为防护的菜单",True,"2024-01-01 10:00:00+08","2024-12-07 10:56:44.562894+08"
2,1,"攻击","action","genre","特色为攻击的菜单",True,"2024-01-01 10:00:00+08","2024-12-07 10:56:44.562894+08"
3,1,"任务","strategy","genre","特色为任务的菜单",True,"2024-01-01 10:00:00+08","2024-12-07 10:56:44.562894+08"
4,2,"专属战局","multiplayer","feature","菜单支持专属战局",True,"2024-01-01 10:00:00+08","2024-12-07 10:56:44.562894+08"
6,3,"新发布","new-release","status","新上线的菜单",True,"2024-01-01 10:10:00+08","2024-12-07 10:56:44.562894+08"
9,4,"全能型""天花板""","high-graphics","content","""天花板级别的菜单""",False,"2024-03-10 00:00:00+08","2024-12-07 10:56:44.562894+08"
12,6,"收藏达人","collector","behavior","收藏牛人呀~！",False,"2024-01-01 10:35:00+08","2024-12-07 10:58:32.009211+08"
13,6,"街溜子","reviewer","behavior","到处转,我就到处转~",False,"2024-01-01 10:35:00+08","2024-12-07 10:58:32.009211+08"
7,3,"优惠卷下发中","on-sale","status","正在促销",True,"2024-03-01 00:00:00+08","2024-12-07 10:59:46.319417+08"
15,8,"不买立省百分百","achievement","system","黑色星期八",True,"2024-01-01 10:35:00+08","2024-12-07 10:59:46.319417+08"
